Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
423370,0,0,250,35.09,250,3.003,6,38.41,35.09,1,0.01,0.05,0.2,0.3,0,1
423380,0,0,250,35.75,250,3.003,6,38.41,35.75,1,0.01,0.05,0.2,0.3,0,1
423390,0,0,250,36.29,250,3.003,6,38.41,36.29,1,0.01,0.05,0.2,0.3,0,1
423400,0,0,250,35.43,250,3.003,5,32.01,35.43,1,0.01,0.05,0.2,0.3,0,1
423410,0,0,250,36.03,250,3.003,6,38.41,36.03,1,0.01,0.05,0.2,0.3,0,1
423420,0,0,250,35.22,250,3.003,5,32.01,35.22,1,0.01,0.05,0.2,0.3,0,1
423430,0,0,250,35.86,250,3.003,6,38.41,35.86,1,0.01,0.05,0.2,0.3,0,1
423440,0,0,250,36.37,250,3.003,6,38.41,36.37,1,0.01,0.05,0.2,0.3,0,1
423450,0,0,250,36.78,250,3.003,6,38.41,36.78,1,0.01,0.05,0.2,0.3,0,1
423460,0,0,250,37.11,250,3.003,6,38.41,37.11,1,0.01,0.05,0.2,0.3,0,1
423470,0,0,250,37.37,250,3.003,6,38.41,37.37,1,0.01,0.05,0.2,0.3,0,1
423480,0,0,250,37.58,250,3.003,6,38.41,37.58,1,0.01,0.05,0.2,0.3,0,1
423490,0,0,250,37.74,250,3.003,6,38.41,37.74,1,0.01,0.05,0.2,0.3,0,1
423500,0,0,250,36.6,250,3.003,5,32.01,36.6,1,0.01,0.05,0.2,0.3,0,1
423510,0,0,250,36.96,250,3.003,6,38.41,36.96,1,0.01,0.05,0.2,0.3,0,1
423520,0,0,250,37.25,250,3.003,6,38.41,37.25,1,0.01,0.05,0.2,0.3,0,1
423530,0,0,250,37.48,250,3.003,6,38.41,37.48,1,0.01,0.05,0.2,0.3,0,1
423540,0,0,250,37.67,250,3.003,6,38.41,37.67,1,0.01,0.05,0.2,0.3,0,1
423550,0,0,250,37.82,250,3.003,6,38.41,37.82,1,0.01,0.05,0.2,0.3,0,1
423560,0,0,250,37.94,250,3.003,6,38.41,37.94,1,0.01,0.05,0.2,0.3,0,1
423570,0,0,250,38.03,250,3.003,6,38.41,38.03,1,0.01,0.05,0.2,0.3,0,1
423580,0,0,250,38.11,250,3.003,6,38.41,38.11,1,0.01,0.05,0.2,0.3,0,1
423590,0,0,250,38.17,250,3.003,6,38.41,38.17,1,0.01,0.05,0.2,0.3,0,1
423600,0,0,250,38.22,250,3.003,6,38.41,38.22,1,0.01,0.05,0.2,0.3,0,1
423610,0,0,250,38.26,250,3.003,6,38.41,38.26,1,0.01,0.05,0.2,0.3,0,1
423620,0,0,250,38.29,250,3.003,6,38.41,38.29,1,0.01,0.05,0.2,0.3,0,1
423630,0,0,250,38.31,250,3.003,6,38.41,38.31,1,0.01,0.05,0.2,0.3,0,1
423640,0,0,250,38.33,250,3.003,6,38.41,38.33,1,0.01,0.05,0.2,0.3,0,1
423650,0,0,250,38.35,250,3.003,6,38.41,38.35,1,0.01,0.05,0.2,0.3,0,1
423660,0,0,250,38.36,250,3.003,6,38.41,38.36,1,0.01,0.05,0.2,0.3,0,1
423670,0,0,250,38.37,250,3.003,6,38.41,38.37,1,0.01,0.05,0.2,0.3,0,1
423680,0,0,250,38.38,250,3.003,6,38.41,38.38,1,0.01,0.05,0.2,0.3,0,1
423690,0,0,250,39.67,250,3.003,7,44.81,39.67,1,0.01,0.05,0.2,0.3,0,1
423700,0,0,250,39.42,250,3.003,6,38.41,39.42,1,0.01,0.05,0.2,0.3,0,1
423710,0,0,250,39.22,250,3.003,6,38.41,39.22,1,0.01,0.05,0.2,0.3,0,1
423720,0,0,250,39.05,250,3.003,6,38.41,39.05,1,0.01,0.05,0.2,0.3,0,1
423730,0,0,250,38.93,250,3.003,6,38.41,38.93,1,0.01,0.05,0.2,0.3,0,1
423740,0,0,250,38.82,250,3.003,6,38.41,38.82,1,0.01,0.05,0.2,0.3,0,1
423750,0,0,250,38.74,250,3.003,6,38.41,38.74,1,0.01,0.05,0.2,0.3,0,1
423760,0,0,250,38.68,250,3.003,6,38.41,38.68,1,0.01,0.05,0.2,0.3,0,1
423770,0,0,250,38.62,250,3.003,6,38.41,38.62,1,0.01,0.05,0.2,0.3,0,1
423780,0,0,250,38.58,250,3.003,6,38.41,38.58,1,0.01,0.05,0.2,0.3,0,1
423790,0,0,250,38.55,250,3.003,6,38.41,38.55,1,0.01,0.05,0.2,0.3,0,1
423800,0,0,250,38.52,250,3.003,6,38.41,38.52,1,0.01,0.05,0.2,0.3,0,1
423810,0,0,250,39.78,250,3.003,7,44.81,39.78,1,0.01,0.05,0.2,0.3,0,1
423820,0,0,250,39.51,250,3.003,6,38.41,39.51,1,0.01,0.05,0.2,0.3,0,1
423830,0,0,250,39.29,250,3.003,6,38.41,39.29,1,0.01,0.05,0.2,0.3,0,1
423840,0,0,250,39.11,250,3.003,6,38.41,39.11,1,0.01,0.05,0.2,0.3,0,1
423850,0,0,250,40.25,250,3.003,7,44.81,40.25,1,0.01,0.05,0.2,0.3,0,1
423860,0,0,250,39.88,250,3.003,6,38.41,39.88,1,0.01,0.05,0.2,0.3,0,1
423870,0,0,250,39.59,250,3.003,6,38.41,39.59,1,0.01,0.05,0.2,0.3,0,1
423880,0,0,250,39.35,250,3.003,6,38.41,39.35,1,0.01,0.05,0.2,0.3,0,1
423890,0,0,250,39.17,250,3.003,6,38.41,39.17,1,0.01,0.05,0.2,0.3,0,1
423900,0,0,250,39.02,250,3.003,6,38.41,39.02,1,0.01,0.05,0.2,0.3,0,1
423910,0,0,250,38.89,250,3.003,6,38.41,38.89,1,0.01,0.05,0.2,0.3,0,1
423920,0,0,250,40.08,250,3.003,7,44.81,40.08,1,0.01,0.05,0.2,0.3,0,1
423930,0,0,250,39.75,250,3.003,6,38.41,39.75,1,0.01,0.05,0.2,0.3,0,1
423940,0,0,250,39.48,250,3.003,6,38.41,39.48,1,0.01,0.05,0.2,0.3,0,1
423950,0,0,250,39.27,250,3.003,6,38.41,39.27,1,0.01,0.05,0.2,0.3,0,1
423960,0,0,250,39.09,250,3.003,6,38.41,39.09,1,0.01,0.05,0.2,0.3,0,1
