Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
579450,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579460,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579470,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579480,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579490,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579500,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579510,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579520,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579530,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579540,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579550,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579560,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579570,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579580,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579590,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579600,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579610,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579620,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579630,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579640,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579650,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579660,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579670,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579680,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579690,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579700,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579710,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579720,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579730,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579740,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579750,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579760,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579770,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579780,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579790,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579800,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579810,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579820,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579830,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579840,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579850,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579860,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579870,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579880,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579890,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579900,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579910,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579920,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579930,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579940,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
579950,0,0,0,0,0,0,0,0,259.48,0,0.01,0.05,0.2,0.3,0,1
