Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
1137870,0,0,12,0,12,0.144,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137880,0,0,24,0,24,0.288,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137890,0,0,36,0,36,0.432,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137900,0,0,48,0,48,0.577,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137910,0,0,60,0,60,0.721,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137920,0,0,72,0,72,0.865,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137930,0,0,84,0,84,1.009,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137940,0,0,96,0,96,1.153,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137950,0,0,108,0,108,1.297,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137960,0,0,120,0,120,1.441,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137970,0,0,132,0,132,1.586,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137980,0,0,144,0,144,1.73,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1137990,0,0,156,0,156,1.874,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1138000,0,0,168,0,168,2.018,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1138010,0,0,180,0,180,2.162,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1138020,0,0,192,0,192,2.306,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1138030,0,0,204,0,204,2.45,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1138040,0,0,216,0,216,2.595,0,0,0,1,1.974374,9.871872,0.2,0.303981,1000,1
1138050,0,0,228,1.28,228,2.739,1,6.4,1.28,1,1.974374,9.871872,0.2,0.303981,1000,1
1138060,0,0,240,1.02,240,2.883,0,0,1.02,1,1.974374,9.871872,0.2,0.303981,1000,1
1138070,0,0,250,2.1,250,3.003,1,6.4,2.1,1,1.974374,9.871872,0.2,0.303981,1000,1
1138080,0,0,250,2.96,250,3.003,1,6.4,2.96,1,1.974374,9.871872,0.2,0.303981,1000,1
1138090,0,0,250,3.65,250,3.003,1,6.4,3.65,1,1.974374,9.871872,0.2,0.303981,1000,1
1138100,0,0,250,5.48,250,3.003,2,12.8,5.48,1,1.974374,9.871872,0.2,0.303981,1000,1
1138110,0,0,250,6.94,250,3.003,2,12.8,6.94,1,1.974374,9.871872,0.2,0.303981,1000,1
1138120,0,0,250,8.12,250,3.003,2,12.8,8.12,1,1.974374,9.871872,0.2,0.303981,1000,1
1138130,0,0,250,10.33,250,3.003,3,19.21,10.33,1,1.974374,9.871872,0.2,0.303981,1000,1
1138140,0,0,250,12.11,250,3.003,3,19.21,12.11,1,1.974374,9.871872,0.2,0.303981,1000,1
1138150,0,0,250,13.53,250,3.003,3,19.21,13.53,1,1.974374,9.871872,0.2,0.303981,1000,1
1138160,0,0,250,14.66,250,3.003,3,19.21,14.66,1,1.974374,9.871872,0.2,0.303981,1000,1
1138170,0,0,250,15.57,250,3.003,3,19.21,15.57,1,1.974374,9.871872,0.2,0.303981,1000,1
1138180,0,0,250,17.58,250,3.003,4,25.61,17.58,1,1.974374,9.871872,0.2,0.303981,1000,1
1138190,0,0,250,19.19,250,3.003,4,25.61,19.19,1,1.974374,9.871872,0.2,0.303981,1000,1
1138200,0,0,250,19.19,250,3.003,3,19.21,19.19,1,1.974374,9.871872,0.2,0.303981,1000,1
